lat,lon,yaw,year,month
40.0241184743,-75.0311684349,65.009,2014,06
40.0735126798,-75.0689233,36.26,2014,07
39.9588994049,-75.1599760371,10.574,2014,05
40.0663126724,-75.172515134,321.746,2014,07
40.0256763126,-75.1243062775,259.321,2014,06
39.9858075749,-75.0976244327,55.702,2014,05
40.0700288473,-75.1647215566,216.699,2014,07
39.954841065,-75.183412777,215.858,2014,05
40.0703074763,-75.1826755515,35.973,2014,07
40.0150324335,-75.1587233658,84.273,2014,05
40.070883088,-75.179820783,36.416,2014,07
39.9463039646,-75.1692621433,191.119,2014,05
40.0570785622,-75.0745569178,307.021,2014,05
39.943902062,-75.219549788,46.925,2014,05
39.976462189,-75.1657469395,189.249,2014,06
39.9798323774,-75.1779721411,280.076,2014,06
40.0511938011,-74.9943621327,138.129,2014,05
39.9820970024,-75.1143094118,327.649,2014,05
40.0999933559,-74.9872837175,317.124,2014,07
39.9881185229,-75.232655019,165.443,2014,05
40.0515512336,-75.0506315983,8.778,2014,06
39.9298369799,-75.234130116,47.673,2014,06
40.0676028583,-75.152909482,76.999,2014,07
40.0111266158,-75.1437213886,190.262,2014,05
40.0458562186,-75.221331219,285.37,2014,05
39.8924791541,-75.2330708629,90.282,2014,06
39.9164133363,-75.173327468,64.265,2014,06
39.9186360638,-75.1748101311,278.812,2014,06
39.894799051,-75.247705794,168.257,2014,05
40.056839787,-75.2135900298,38.788,2014,05
39.9140823903,-75.187247978,99.309,2014,06
40.0238183842,-75.1159300444,6.074,2014,05
39.9502656638,-75.1521535021,8.526,2014,05
40.0959085951,-74.9914189305,317.528,2014,07
40.0394088142,-75.2269775329,145.718,2014,05
40.099964101,-74.97460272,95.333,2014,07
40.0753038141,-75.1754277282,35.54,2014,07
40.0405590309,-75.1598460472,217.993,2014,05
39.9903770242,-75.1339960107,10.09,2014,05
39.9500191182,-75.1523410105,285.804,2014,05
40.0114463446,-75.0608199237,53.875,2014,06
40.090158549,-75.0438764728,217.362,2014,07
40.067571093,-75.015281731,348.008,2014,07
39.9084342946,-75.2335920167,214.352,2014,06
39.9726958944,-75.1217261015,234.62,2014,06
40.0232759449,-75.0484215182,283.977,2014,05
39.9088522638,-75.2233584539,192.075,2014,05
39.9529386028,-75.1348161324,102.259,2014,06
39.910685496,-75.1591185046,283.708,2014,06
40.0485257069,-75.0279674117,279.872,2014,05
40.0458322451,-75.0769037013,122.171,2014,05
40.031406007,-75.1576406561,190.926,2014,05
39.942738062,-75.196872781,23.765,2014,06
39.9383512659,-75.2213171597,318.051,2014,05
39.9751340803,-75.2334097706,26.967,2014,05
40.0753683789,-74.979547831,199.838,2014,07
40.0888741137,-75.0524973522,137.75,2014,07
39.9792608239,-75.1167764681,235.81,2014,05
39.933993059,-75.231959791,320.322,2014,06
39.8998502022,-75.2070932923,59.867,2014,06
39.9953547291,-75.2096454979,63.957,2014,05
39.9918653901,-75.1257588546,279.561,2014,05
40.0626328075,-75.0663452245,37.678,2014,05
40.0519576003,-75.2051061441,38.775,2014,05
39.97299007,-75.134492763,283.219,2014,06
39.9962100806,-75.1847557361,278.413,2014,05
40.075832096,-74.986205722,188.168,2014,07
40.0354282058,-75.2010903685,347.772,2014,05
39.9525003825,-75.1701608388,9.857,2014,05
40.0038760796,-75.0774914892,215.005,2014,06
39.9138723169,-75.1848284895,279.6,2014,06
39.9850338243,-75.1483103759,188.07,2014,05
40.0484032091,-75.1498672765,98.569,2014,05
40.026438005,-75.1190091566,259.472,2014,06
40.0657636454,-75.0620381379,214.574,2014,07
40.116986103,-75.017822735,76.497,2014,07
39.9403396329,-75.2014673501,289.421,2014,06
39.9972833684,-75.1451291438,189.67,2014,05
39.8959503389,-75.1745740067,334.459,2014,06
39.9766268381,-75.1726227373,282.249,2014,05
39.9970440718,-75.1137425874,100.171,2014,05
40.0336415886,-75.0773916111,253.584,2014,06
39.991115074,-75.12086876,150.297,2014,06
39.9516667657,-75.1765861497,276.027,2014,05
39.9600003081,-75.1518367828,181.768,2014,05
40.0248923765,-75.1407205193,100.296,2014,06
39.9565544406,-75.1536564958,102.06,2014,06
40.0509783961,-75.1806461429,127.736,2014,05
40.072256759,-75.1746762643,216.592,2014,07
40.00937408,-75.071297745,210.508,2014,05
39.9458508635,-75.1524107817,99.2,2014,05
39.9660425662,-75.2354385719,97.266,2014,06
40.0207435,-75.1365610039,314.685,2014,06
39.945011482,-75.2317493788,136.249,2014,05
40.0564436738,-75.0583965717,313.705,2014,05
40.0568115622,-75.1559985362,148.986,2014,05
39.955990691,-75.2327695897,187.569,2014,05
40.0130802741,-75.1504133171,190.359,2014,05
40.010857012,-75.0847329569,180.858,2014,05
39.9447591145,-75.2292821353,227.239,2014,05
39.9532055937,-75.2317540826,99.159,2014,05
40.0497506133,-75.2444082079,255.144,2014,05
40.057432085,-75.182886783,36.422,2014,05
39.998799076,-75.115014758,10.23,2014,05
40.040198085,-75.091261753,6.488,2014,05
40.0372141035,-75.1364843695,283.583,2014,05
40.0577598822,-75.032015714,89.279,2014,05
40.0614790568,-75.0209131681,132.713,2014,05
40.0299089081,-75.0739529021,127.177,2014,05
40.0690896213,-75.0589921696,306.297,2014,07
39.9838826303,-75.1230288211,326.107,2014,05
40.0130518015,-75.2045509488,311.217,2014,05
39.945079479,-75.1686592586,279.325,2014,05
39.9438515492,-75.2465724633,7.45,2014,05
39.9544384587,-75.1577202873,11.643,2014,05
40.0205274326,-75.1898607601,103.477,2014,05
39.9909974589,-75.1799872896,99.239,2014,06
39.9299911301,-75.1656160003,12.04,2014,05
39.9377307568,-75.2113527546,227.388,2014,05
40.0597656267,-75.0695298801,305.051,2014,05
40.0759639815,-75.0883767332,127.502,2014,07
39.889793687,-75.2200120587,127.161,2014,06
39.911370056,-75.186075776,190.144,2014,06
39.936138059,-75.234500792,161.861,2014,05
40.0102977592,-75.0960851386,190.616,2014,05
40.0231596693,-75.1970545731,234.872,2014,05
40.0451731261,-75.0512779586,230.016,2014,05
39.9721312104,-75.1384146087,10.459,2014,05
39.8881090088,-75.1582151655,294.725,2014,06
39.9280444412,-75.1754761328,9.53,2014,05
39.971861887,-75.13528158,282.835,2014,05
40.100707344,-74.9958937743,139.112,2014,07
